0 0
0 0
5.43e-07 0
8.05e-07 0
1e-06 0
2.38e-06 0
2.8e-06 0
2.88e-06 0
3.27e-06 0
4.13e-06 0
4.4e-06 0
4.61e-06 0
5.79e-06 0
8.17e-06 0
8.27e-06 0
9.51e-06 0
1.11e-05 0
1.16e-05 0
1.23e-05 0
1.27e-05 0
1.31e-05 0
1.34e-05 0
1.45e-05 0
1.46e-05 0
1.56e-05 0
1.58e-05 0
1.59e-05 0
1.62e-05 0
1.67e-05 0
1.93e-05 0
1.97e-05 0
2.01e-05 0
2.01e-05 0
2.05e-05 0
2.06e-05 0
2.13e-05 0
2.18e-05 0
2.43e-05 0
2.43e-05 0
2.48e-05 0
2.63e-05 0
2.65e-05 0
2.74e-05 0
2.84e-05 0
2.97e-05 0
3.04e-05 0
3.04e-05 0
3.06e-05 0
3.1e-05 0
3.24e-05 0
3.3e-05 0
3.38e-05 0
3.4e-05 0
3.42e-05 0
3.48e-05 0
3.54e-05 0
3.68e-05 0
3.74e-05 0
3.84e-05 0
3.86e-05 0
4.35e-05 0
4.76e-05 0
4.94e-05 0
5.04e-05 0
5.06e-05 0
5.2e-05 0
5.25e-05 0
5.89e-05 0
6.81e-05 0
6.87e-05 0
7.2e-05 0
7.92e-05 0
8.64e-05 0
8.78e-05 0
9.51e-05 0
9.87e-05 0
0.000102 0
0.000103 0
0.000112 0
0.000112 0
0.000121 0
0.000127 0
0.000141 0
0.000159 0
0.000159 0
0.00016 0
0.00016 0
0.000175 0
0.000202 0
0.000219 0
0.000229 0
0.000231 0
0.000278 0
0.000336 0
