#Clade                                                Targets  Neighbors  Unknowns  Split (%)  Parent  Dist(Parent)
nGCA_000813165.1_ASM81316v1_genomic.fna               0        0          1         3.85       39      0.000307
nGCA_000826905.1_ASM82690v1_genomic.fna               0        0          1         3.85       175     7.1e-06
nGCA_000826925.1_ASM82692v1_genomic.fna               0        0          1         3.85       175     1.94e-06
nGCA_000827105.1_ASM82710v1_genomic.fna               0        0          1         3.85       270     0.00611
nGCA_000829985.1_ASM82998v1_genomic.fna               0        0          1         3.85       244     0.000985
nGCA_000831565.1_ASM83156v1_genomic.fna               0        0          1         3.85       127     0.00308
nGCA_000968515.1_ASM96851v1_genomic.fna               0        0          1         3.85       167     0.00171
nGCA_000974405.1_ASM97440v1_genomic.fna               0        0          1         3.85       215     0
nGCA_000974465.1_ASM97446v1_genomic.fna               0        0          1         3.85       215     1.11e-06
nGCA_000974505.1_ASM97450v1_genomic.fna               0        0          1         3.85       214     3.48e-07
nGCA_000974535.1_ASM97453v1_genomic.fna               0        0          1         3.85       213     1.28e-06
nGCA_000974575.1_ASM97457v1_genomic.fna               0        0          1         3.85       208     2.26e-05
nGCA_000974825.1_ASM97482v1_genomic.fna               0        0          1         3.85       213     4.34e-07
nGCA_000974865.1_ASM97486v1_genomic.fna               0        0          1         3.85       212     4.76e-07
nGCA_000974885.1_ASM97488v1_genomic.fna               0        0          1         3.85       209     0
nGCA_000981485.1_EcoliK12AG100_genomic.fna            0        0          1         3.85       183     3.76e-05
nGCA_000986765.1_ASM98676v1_genomic.fna               0        0          1         3.85       126     0
nGCA_001020945.2_ASM102094v2_genomic.fna              0        0          1         3.85       203     9.81e-06
nGCA_001021005.2_ASM102100v2_genomic.fna              0        0          1         3.85       203     2.71e-06
nGCA_001021615.1_APECO18_genomic.fna                  0        0          1         3.85       43      0.000216
nGCA_001021635.2_ASM102163v2_genomic.fna              0        0          1         3.85       8       0.00102
nGCA_001029125.1_ASM102912v1_genomic.fna              0        0          1         3.85       261     0.00116
nGCA_001051135.1_ASM105113v1_genomic.fna              0        0          1         3.85       92      0.000142
nGCA_001308065.1_ASM130806v1_genomic.fna              0        0          1         3.85       181     8.31e-07
nGCA_001544635.1_ASM154463v1_genomic.fna              0        0          1         3.85       225     0
nGCA_001559615.2_ASM155961v2_genomic.fna              0        0          1         3.85       248     4.28e-05
nGCA_001559635.1_ASM155963v1_genomic.fna              0        0          1         3.85       248     5.15e-05
nGCA_001559655.1_ASM155965v1_genomic.fna              0        0          1         3.85       207     1.2e-05
nGCA_001559675.1_ASM155967v1_genomic.fna              0        0          1         3.85       210     8.67e-05
nGCA_001566335.1_ASM156633v1_genomic.fna              0        0          1         3.85       178     6.27e-07
nGCA_001593565.1_ASM159356v1_genomic.fna              0        0          1         3.85       21      0.000118
nGCA_001610755.1_ASM161075v1_genomic.fna              0        0          1         3.85       161     0.00175
nGCA_001650275.1_ASM165027v1_genomic.fna              0        0          1         3.85       393     2.97e-05
nGCA_001650295.1_ASM165029v1_genomic.fna              0        0          1         3.85       393     2.64e-05
nGCA_001874485.1_ASM187448v1_genomic.fna              0        0          1         3.85       29      7.14e-05
nGCA_002024865.1_ASM202486v1_genomic.fna              0        0          1         3.85       47      0
nGCA_002079225.1_ASM207922v1_genomic.fna              0        0          1         3.85       243     0.00199
nGCA_002208865.2_ASM220886v2_genomic.fna              0        0          1         3.85       368     9.69e-05
nGCA_002209105.2_ASM220910v2_genomic.fna              0        0          1         3.85       120     4.65e-05
nGCA_002269325.1_ASM226932v1_genomic.fna              0        0          1         3.85       241     0.000121
nGCA_002716885.1_ASM271688v1_genomic.fna              0        0          1         3.85       146     0.000164
nGCA_002741175.1_ASM274117v1_genomic.fna              0        0          1         3.85       238     8.21e-05
nGCA_002741195.1_ASM274119v1_genomic.fna              0        0          1         3.85       240     0.000242
nGCA_002741215.1_ASM274121v1_genomic.fna              0        0          1         3.85       236     0.0008
nGCA_002741255.1_ASM274125v1_genomic.fna              0        0          1         3.85       150     0.00342
nGCA_002741275.1_ASM274127v1_genomic.fna              0        0          1         3.85       145     0.000952
nGCA_002741315.1_ASM274131v1_genomic.fna              0        0          1         3.85       238     0.00014
nGCA_002741435.1_ASM274143v1_genomic.fna              0        0          1         3.85       269     0.000276
nGCA_002741455.1_ASM274145v1_genomic.fna              0        0          1         3.85       135     0.000858
nGCA_002741475.1_ASM274147v1_genomic.fna              0        0          1         3.85       115     0.00301
nGCA_002741495.1_ASM274149v1_genomic.fna              0        0          1         3.85       269     0.000276
nGCA_002741515.1_ASM274151v1_genomic.fna              0        0          1         3.85       239     0.000503
nGCA_002741575.1_ASM274157v1_genomic.fna              0        0          1         3.85       241     6.76e-05
nGCA_002741595.1_ASM274159v1_genomic.fna              0        0          1         3.85       144     0.00293
nGCA_002843685.1_ASM284368v1_genomic.fna              0        0          1         3.85       173     1.34e-05
nGCA_002844165.1_ASM284416v1_genomic.fna              0        0          1         3.85       95      8.19e-05
nGCA_002983645.1_ASM298364v1_genomic.fna              0        0          1         3.85       124     3.6e-05
nGCA_003112145.1_ASM311214v1_genomic.fna              0        0          1         3.85       94      0.000106
nGCA_003112165.1_ASM311216v1_genomic.fna              0        0          1         3.85       107     0.000347
nGCA_003112185.1_ASM311218v1_genomic.fna              0        0          1         3.85       110     0
nGCA_003112205.1_ASM311220v1_genomic.fna              0        0          1         3.85       137     0.00315
nGCA_003112225.1_ASM311222v1_genomic.fna              0        0          1         3.85       109     6.42e-05
nGCA_003112245.1_ASM311224v1_genomic.fna              0        0          1         3.85       106     7.15e-06
nGCA_003433275.1_ASM343327v1_genomic.fna              0        0          1         3.85       119     0.000183
nGCA_003546975.1_ASM354697v1_genomic.fna              0        0          1         3.85       59      0
nGCA_003586045.1_E.coli_isolate_genomic.fna           0        0          1         3.85       132     0.000572
nGCA_003586065.1_EcRM9872_genomic.fna                 0        0          1         3.85       283     0
nGCA_003591595.1_ASM359159v1_genomic.fna              0        0          1         3.85       259     9.55e-06
nGCA_003627195.1_ASM362719v1_genomic.fna              0        0          1         3.85       179     0
nGCA_003697165.2_ASM369716v2_genomic.fna              0        0          1         3.85       37      0.000418
nGCA_004355105.2_ASM435510v2_genomic.fna              0        0          1         3.85       177     0
nGCA_004771135.1_ASM477113v1_genomic.fna              0        0          1         3.85       64      0.00037
nGCA_005014055.1_ASM501405v1_genomic.fna              0        0          1         3.85       132     0.000349
nGCA_005014075.1_ASM501407v1_genomic.fna              0        0          1         3.85       126     6.07e-06
nGCA_005037715.2_ASM503771v2_genomic.fna              0        0          1         3.85       95      6.06e-05
nGCA_005037725.2_ASM503772v2_genomic.fna              0        0          1         3.85       108     0.000234
nGCA_005037775.2_ASM503777v2_genomic.fna              0        0          1         3.85       146     0.000134
nGCA_005037795.2_ASM503779v2_genomic.fna              0        0          1         3.85       148     0.000299
nGCA_005037805.2_ASM503780v2_genomic.fna              0        0          1         3.85       104     5.17e-05
nGCA_005037815.2_ASM503781v2_genomic.fna              0        0          1         3.85       284     0.000187
nGCA_005037845.2_ASM503784v2_genomic.fna              0        0          1         3.85       149     0.000192
nGCA_006777045.1_ASM677704v1_genomic.fna              0        0          1         3.85       5       0.00619
nGCA_007990655.1_ASM799065v1_genomic.fna              0        0          1         3.85       106     8.29e-05
nGCA_008042015.2_ASM804201v2_genomic.fna              0        0          1         3.85       89      0.00086
nGCA_008124005.1_ASM812400v1_genomic.fna              0        0          1         3.85       158     0.00151
nGCA_008124085.1_ASM812408v1_genomic.fna              0        0          1         3.85       74      0.000239
nGCA_008124105.1_ASM812410v1_genomic.fna              0        0          1         3.85       189     2.31e-05
nGCA_008124125.1_ASM812412v1_genomic.fna              0        0          1         3.85       193     1.13e-06
nGCA_008124145.1_ASM812414v1_genomic.fna              0        0          1         3.85       192     1.39e-06
nGCA_008124165.1_ASM812416v1_genomic.fna              0        0          1         3.85       191     1.06e-06
nGCA_008124185.1_ASM812418v1_genomic.fna              0        0          1         3.85       194     0
nGCA_008124205.1_ASM812420v1_genomic.fna              0        0          1         3.85       201     3.35e-06
nGCA_008124225.1_ASM812422v1_genomic.fna              0        0          1         3.85       201     1.32e-06
nGCA_008124245.1_ASM812424v1_genomic.fna              0        0          1         3.85       198     8.86e-06
nGCA_008124265.1_ASM812426v1_genomic.fna              0        0          1         3.85       195     0
nGCA_008124285.1_ASM812428v1_genomic.fna              0        0          1         3.85       189     0
nGCA_008124305.1_ASM812430v1_genomic.fna              0        0          1         3.85       200     2.47e-06
nGCA_008124325.1_ASM812432v1_genomic.fna              0        0          1         3.85       196     0
nGCA_008124345.1_ASM812434v1_genomic.fna              0        0          1         3.85       200     2.73e-06
nGCA_008124365.1_ASM812436v1_genomic.fna              0        0          1         3.85       199     7e-07
nGCA_008124385.1_ASM812438v1_genomic.fna              0        0          1         3.85       199     5.39e-07
nGCA_008124405.1_ASM812440v1_genomic.fna              0        0          1         3.85       188     0
nGCA_008462425.1_ASM846242v1_genomic.fna              0        0          1         3.85       402     6.75e-05
nGCA_008634095.2_ASM863409v2_genomic.fna              0        0          1         3.85       280     0.000137
nGCA_008635785.2_ASM863578v2_genomic.fna              0        0          1         3.85       279     4.69e-05
nGCA_008727135.1_ASM872713v1_genomic.fna              0        0          1         3.85       437     8.43e-05
nGCA_008727155.1_ASM872715v1_genomic.fna              0        0          1         3.85       429     1.07e-05
nGCA_008727175.1_ASM872717v1_genomic.fna              0        0          1         3.85       419     3.45e-05
nGCA_008727195.1_ASM872719v1_genomic.fna              0        0          1         3.85       377     0.000126
nGCA_009618015.1_ASM961801v1_genomic.fna              0        0          1         3.85       96      0.00407
nGCA_009728565.1_ASM972856v1_genomic.fna              0        0          1         3.85       143     0.00182
nGCA_009832885.1_ASM983288v1_genomic.fna              0        0          1         3.85       229     5.05e-05
nGCA_013166975.1_ASM1316697v1_genomic.fna             0        0          1         3.85       256     8.15e-06
nGCA_013167015.1_ASM1316701v1_genomic.fna             0        0          1         3.85       256     5.17e-05
nGCA_013167255.1_ASM1316725v1_genomic.fna             0        0          1         3.85       299     0.000137
nGCA_013167935.1_ASM1316793v1_genomic.fna             0        0          1         3.85       296     0.00078
nGCA_013167975.1_ASM1316797v1_genomic.fna             0        0          1         3.85       299     5.03e-05
nGCA_013167995.1_ASM1316799v1_genomic.fna             0        0          1         3.85       293     0.000469
nGCA_013168015.1_ASM1316801v1_genomic.fna             0        0          1         3.85       297     0.000237
nGCA_013282315.1_ASM1328231v1_genomic.fna             0        0          1         3.85       244     0.00124
nGCA_013343615.1_ASM1334361v1_genomic.fna             0        0          1         3.85       294     0.000352
nGCA_014217135.1_ASM1421713v1_genomic.fna             0        0          1         3.85       30      1.7e-05
nGCA_014217155.1_ASM1421715v1_genomic.fna             0        0          1         3.85       31      1.9e-05
nGCA_014262945.1_ASM1426294v1_genomic.fna             0        0          1         3.85       63      3.18e-05
nGCA_014263375.1_ASM1426337v1_genomic.fna             0        0          1         3.85       252     0
nGCA_014607535.1_ASM1460753v1_genomic.fna             0        0          1         3.85       278     5.47e-05
nGCA_014607555.1_ASM1460755v1_genomic.fna             0        0          1         3.85       288     2.39e-06
nGCA_014607575.1_ASM1460757v1_genomic.fna             0        0          1         3.85       289     4.58e-05
nGCA_014622965.1_ASM1462296v1_genomic.fna             0        0          1         3.85       285     3.72e-05
nGCA_014622985.1_ASM1462298v1_genomic.fna             0        0          1         3.85       287     6.24e-05
nGCA_014623185.1_ASM1462318v1_genomic.fna             0        0          1         3.85       288     4.62e-06
nGCA_014623205.1_ASM1462320v1_genomic.fna             0        0          1         3.85       289     2.34e-05
nGCA_014623225.1_ASM1462322v1_genomic.fna             0        0          1         3.85       284     0.000109
nGCA_014623245.1_ASM1462324v1_genomic.fna             0        0          1         3.85       282     0
nGCA_014623405.1_ASM1462340v1_genomic.fna             0        0          1         3.85       281     1.83e-05
nGCA_014623425.1_ASM1462342v1_genomic.fna             0        0          1         3.85       283     1.77e-06
nGCA_014770655.1_ASM1477065v1_genomic.fna             0        0          1         3.85       266     0.000616
nGCA_014770895.1_ASM1477089v1_genomic.fna             0        0          1         3.85       154     0.00478
nGCA_014771055.1_ASM1477105v1_genomic.fna             0        0          1         3.85       242     0.00247
nGCA_014771275.1_ASM1477127v1_genomic.fna             0        0          1         3.85       267     0.00252
nGCA_014930875.1_ASM1493087v1_genomic.fna             0        0          1         3.85       49      0
nGCA_015277555.1_ASM1527755v1_genomic.fna             0        0          1         3.85       27      2.15e-05
nGCA_015290945.1_ASM1529094v1_genomic.fna             0        0          1         3.85       168     5.54e-05
nGCA_015291845.1_ASM1529184v1_genomic.fna             0        0          1         3.85       221     0
nGCA_015534935.1_ASM1553493v1_genomic.fna             0        0          1         3.85       231     3.27e-07
nGCA_015534955.1_ASM1553495v1_genomic.fna             0        0          1         3.85       231     1.62e-07
nGCA_015534975.1_ASM1553497v1_genomic.fna             0        0          1         3.85       216     1.06e-06
nGCA_015534995.1_ASM1553499v1_genomic.fna             0        0          1         3.85       218     1.68e-06
nGCA_015535015.1_ASM1553501v1_genomic.fna             0        0          1         3.85       219     0
nGCA_015571595.1_ASM1557159v1_genomic.fna             0        0          1         3.85       84      0.00641
nGCA_015571675.1_ASM1557167v1_genomic.fna             0        0          1         3.85       262     1.51e-06
nGCA_015571695.1_ASM1557169v1_genomic.fna             0        0          1         3.85       262     2.4e-07
nGCA_015571715.1_ASM1557171v1_genomic.fna             0        0          1         3.85       88      0.00202
nGCA_015571735.1_ASM1557173v1_genomic.fna             0        0          1         3.85       142     0.000416
nGCA_015571795.1_ASM1557179v1_genomic.fna             0        0          1         3.85       142     0.000422
nGCA_015571855.1_ASM1557185v1_genomic.fna             0        0          1         3.85       267     0.0026
nGCA_015571895.1_ASM1557189v1_genomic.fna             0        0          1         3.85       99      0.00313
nGCA_015571915.1_ASM1557191v1_genomic.fna             0        0          1         3.85       112     0.00371
nGCA_015644765.1_ASM1564476v1_genomic.fna             0        0          1         3.85       48      0
nGCA_015697215.1_ASM1569721v1_genomic.fna             0        0          1         3.85       71      0.00372
nGCA_016756455.1_ASM1675645v1_genomic.fna             0        0          1         3.85       27      9.41e-05
nGCA_016803935.1_ASM1680393v1_genomic.fna             0        0          1         3.85       33      0.00458
nGCA_016811855.1_ASM1681185v1_genomic.fna             0        0          1         3.85       232     3.3e-08
nGCA_016811875.1_ASM1681187v1_genomic.fna             0        0          1         3.85       232     0
nGCA_016864475.1_ASM1686447v1_genomic.fna             0        0          1         3.85       246     0.00142
nGCA_017570585.1_ASM1757058v1_genomic.fna             0        0          1         3.85       255     0.00015
nGCA_017570605.1_ASM1757060v1_genomic.fna             0        0          1         3.85       164     0.00095
nGCA_017570625.1_ASM1757062v1_genomic.fna             0        0          1         3.85       164     0.000725
nGCA_017570645.1_ASM1757064v1_genomic.fna             0        0          1         3.85       129     0.0013
nGCA_017570685.1_ASM1757068v1_genomic.fna             0        0          1         3.85       98      0.00334
nGCA_018085225.1_ASM1808522v1_genomic.fna             0        0          1         3.85       266     0.000417
nGCA_018884445.1_ASM1888444v1_genomic.fna             0        0          1         3.85       263     0.0045
nGCA_018986795.1_ASM1898679v1_genomic.fna             0        0          1         3.85       84      0.00673
nGCA_018986815.1_ASM1898681v1_genomic.fna             0        0          1         3.85       72      0.00381
nGCA_018986835.1_ASM1898683v1_genomic.fna             0        0          1         3.85       128     0.00194
nGCA_019431295.1_ASM1943129v1_genomic.fna             0        0          1         3.85       166     0.000513
nGCA_019431315.1_ASM1943131v1_genomic.fna             0        0          1         3.85       83      4.96e-05
nGCA_019431335.1_ASM1943133v1_genomic.fna             0        0          1         3.85       83      0.000109
nGCA_019754155.1_ASM1975415v1_genomic.fna             0        0          1         3.85       255     0
nGCA_020217445.1_ASM2021744v1_genomic.fna             0        0          1         3.85       290     0.00605
nGCA_021398465.1_ASM2139846v1_genomic.fna             0        0          1         3.85       69      0.00359
nGCA_021398485.1_ASM2139848v1_genomic.fna             0        0          1         3.85       67      3.33e-05
nGCA_021398935.1_ASM2139893v1_genomic.fna             0        0          1         3.85       76      1.5e-06
nGCA_021398955.1_ASM2139895v1_genomic.fna             0        0          1         3.85       70      0.00383
nGCA_021398975.1_ASM2139897v1_genomic.fna             0        0          1         3.85       69      0.00375
nGCA_021398995.1_ASM2139899v1_genomic.fna             0        0          1         3.85       18      0.000869
nGCA_021399015.1_ASM2139901v1_genomic.fna             0        0          1         3.85       66      0.000647
nGCA_021559835.1_ASM2155983v1_genomic.fna             0        0          1         3.85       59      5.26e-05
nGCA_022869985.1_ASM2286998v1_genomic.fna             0        0          1         3.85       123     1.59e-05
nGCA_023518355.1_ASM2351835v1_genomic.fna             0        0          1         3.85       143     0.00181
nGCA_024599975.1_ASM2459997v1_genomic.fna             0        0          1         3.85       79      0.00644
nGCA_024662075.1_ASM2466207v1_genomic.fna             0        0          1         3.85       81      0.00627
nGCA_024917335.1_ASM2491733v1_genomic.fna             0        0          1         3.85       24      0.000118
nGCA_024917455.1_ASM2491745v1_genomic.fna             0        0          1         3.85       32      6.58e-05
nGCA_024917895.1_ASM2491789v1_genomic.fna             0        0          1         3.85       32      1.36e-05
nGCA_024917975.1_ASM2491797v1_genomic.fna             0        0          1         3.85       25      7.39e-05
nGCA_024918115.1_ASM2491811v1_genomic.fna             0        0          1         3.85       15      0.00026
nGCA_024918235.1_ASM2491823v1_genomic.fna             0        0          1         3.85       28      0.000113
nGCA_024918395.1_ASM2491839v1_genomic.fna             0        0          1         3.85       16      0.000231
nGCA_024918415.1_ASM2491841v1_genomic.fna             0        0          1         3.85       25      2.74e-05
nGCA_025643415.1_ASM2564341v1_genomic.fna             0        0          1         3.85       182     4.73e-06
nGCA_025643435.1_ASM2564343v1_genomic.fna             0        0          1         3.85       185     2.17e-06
nGCA_025643455.1_ASM2564345v1_genomic.fna             0        0          1         3.85       185     2.21e-06
nGCA_025643475.1_ASM2564347v1_genomic.fna             0        0          1         3.85       184     0
nGCA_025946525.1_ASM2594652v1_genomic.fna             0        0          1         3.85       61      0.000459
nGCA_025946545.1_ASM2594654v1_genomic.fna             0        0          1         3.85       265     0.000908
nGCA_025946565.1_ASM2594656v1_genomic.fna             0        0          1         3.85       57      9.01e-05
nGCA_026016785.1_ASM2601678v1_genomic.fna             0        0          1         3.85       258     0.000193
nGCA_029542525.1_ASM2954252v1_genomic.fna             0        0          1         3.85       74      0.000104
nGCA_029674705.1_ASM2967470v1_genomic.fna             0        0          1         3.85       136     4.22e-05
nGCA_029854395.1_ASM2985439v1_genomic.fna             0        0          1         3.85       136     0
nGCA_030346995.2_ASM3034699v2_genomic.fna             0        0          1         3.85       8       0.000909
nGCA_030347015.1_ASM3034701v1_genomic.fna             0        0          1         3.85       7       0.000861
nGCA_030347035.1_ASM3034703v1_genomic.fna             0        0          1         3.85       91      0.000107
nGCA_030347055.1_ASM3034705v1_genomic.fna             0        0          1         3.85       134     0.000126
nGCA_030347075.1_ASM3034707v1_genomic.fna             0        0          1         3.85       39      0.000524
nGCA_030347095.1_ASM3034709v1_genomic.fna             0        0          1         3.85       41      0.000309
nGCA_030347115.1_ASM3034711v1_genomic.fna             0        0          1         3.85       52      0.000382
nGCA_030347135.1_ASM3034713v1_genomic.fna             0        0          1         3.85       53      0
nGCA_030347155.1_ASM3034715v1_genomic.fna             0        0          1         3.85       53      1.31e-05
nGCA_030347175.1_ASM3034717v1_genomic.fna             0        0          1         3.85       41      0.000253
nGCA_030347195.1_ASM3034719v1_genomic.fna             0        0          1         3.85       91      7.67e-05
nGCA_030347215.1_ASM3034721v1_genomic.fna             0        0          1         3.85       134     0.000121
nGCA_900149875.1_EPEC1_genomic.fna                    0        0          1         3.85       10      0
nGCA_900149915.1_EPEC-E2348_69-V2_genomic.fna         0        0          1         3.85       11      0
nGCA_904425475.1_MG1655_genomic.fna                   0        0          1         3.85       226     0
nGCA_951802855.1_ARM32_genomic.fna                    0        0          1         3.85       17      8.8e-05
nGCA_951802865.1_ARM86_genomic.fna                    0        0          1         3.85       17      7.62e-05
nGCA_951803545.1_ARM46_genomic.fna                    0        0          1         3.85       23      0.000175
101                                                   0        0          2         3.85       100     0.00334
106                                                   0        0          2         3.85       105     7.65e-05
11                                                    0        0          2         3.85       10      6.1e-05
110                                                   0        0          2         3.85       109     5.76e-05
115                                                   0        0          2         3.85       114     0.000334
123                                                   0        0          2         3.85       122     4.1e-05
126                                                   0        0          2         3.85       125     1.47e-05
129                                                   0        0          2         3.85       128     0.000734
132                                                   0        0          2         3.85       131     0.00109
134                                                   0        0          2         3.85       133     0.00108
136                                                   0        0          2         3.85       135     0.000756
142                                                   0        0          2         3.85       141     0.00185
143                                                   0        0          2         3.85       141     0.000717
146                                                   0        0          2         3.85       145     0.000773
149                                                   0        0          2         3.85       148     6.82e-05
152                                                   0        0          2         3.85       151     0.00026
153                                                   0        0          2         3.85       151     8.71e-05
158                                                   0        0          2         3.85       157     0.00246
164                                                   0        0          2         3.85       163     0.000401
166                                                   0        0          2         3.85       165     0.000398
17                                                    0        0          2         3.85       16      0.000123
170                                                   0        0          2         3.85       169     3.29e-05
175                                                   0        0          2         3.85       174     8.11e-06
185                                                   0        0          2         3.85       184     1.27e-05
189                                                   0        0          2         3.85       188     1.16e-05
199                                                   0        0          2         3.85       198     1.96e-06
200                                                   0        0          2         3.85       197     4.99e-07
201                                                   0        0          2         3.85       190     1.91e-06
203                                                   0        0          2         3.85       202     5.71e-06
209                                                   0        0          2         3.85       208     6.59e-06
21                                                    0        0          2         3.85       20      6.53e-05
210                                                   0        0          2         3.85       206     8.89e-06
213                                                   0        0          2         3.85       212     5.03e-07
215                                                   0        0          2         3.85       214     4.55e-06
229                                                   0        0          2         3.85       228     1.35e-05
231                                                   0        0          2         3.85       230     6.04e-07
232                                                   0        0          2         3.85       230     3.74e-07
233                                                   0        0          2         3.85       171     1.84e-05
236                                                   0        0          2         3.85       235     0.000868
238                                                   0        0          2         3.85       237     0.00145
241                                                   0        0          2         3.85       240     2e-05
244                                                   0        0          2         3.85       243     0.00121
248                                                   0        0          2         3.85       247     0.000224
25                                                    0        0          2         3.85       24      2.59e-05
255                                                   0        0          2         3.85       254     2.67e-05
256                                                   0        0          2         3.85       250     3.59e-05
259                                                   0        0          2         3.85       258     4.45e-05
262                                                   0        0          2         3.85       261     0.00138
266                                                   0        0          2         3.85       265     0.000393
267                                                   0        0          2         3.85       264     0.000984
269                                                   0        0          2         3.85       268     0.006
27                                                    0        0          2         3.85       26      4.55e-05
273                                                   0        0          2         3.85       272     0.000675
275                                                   0        0          2         3.85       274     0.000148
283                                                   0        0          2         3.85       282     1.01e-05
284                                                   0        0          2         3.85       277     1.44e-05
288                                                   0        0          2         3.85       287     1.08e-05
289                                                   0        0          2         3.85       286     1.29e-05
299                                                   0        0          2         3.85       298     2.85e-05
32                                                    0        0          2         3.85       31      1.97e-05
37                                                    0        0          2         3.85       36      0.000537
39                                                    0        0          2         3.85       38      0.000413
393                                                   0        0          2         3.85       392     5.07e-05
4                                                     0        0          2         3.85       3       0.00624
41                                                    0        0          2         3.85       40      0.000406
5                                                     0        0          2         3.85       3       0.000461
50                                                    0        0          2         3.85       49      1.94e-05
53                                                    0        0          2         3.85       52      0.000481
57                                                    0        0          2         3.85       56      0.000194
59                                                    0        0          2         3.85       58      4.81e-05
63                                                    0        0          2         3.85       62      0.000196
65                                                    0        0          2         3.85       64      0.000232
67                                                    0        0          2         3.85       66      0.000512
69                                                    0        0          2         3.85       68      0.000326
74                                                    0        0          2         3.85       73      0.00321
76                                                    0        0          2         3.85       75      6.86e-05
79                                                    0        0          2         3.85       78      0.00121
8                                                     0        0          2         3.85       7       0.000151
81                                                    0        0          2         3.85       80      0.000941
83                                                    0        0          2         3.85       82      0.00669
84                                                    0        0          2         3.85       82      0.000138
91                                                    0        0          2         3.85       90      0.000328
92                                                    0        0          2         3.85       90      0.000171
95                                                    0        0          2         3.85       94      2.61e-05
10                                                    0        0          3         3.84       9       0.00604
105                                                   0        0          3         3.84       104     7.36e-05
109                                                   0        0          3         3.84       108     0.000135
125                                                   0        0          3         3.84       124     4.09e-05
128                                                   0        0          3         3.84       127     0.00118
135                                                   0        0          3         3.84       133     0.000114
145                                                   0        0          3         3.84       144     0.00186
148                                                   0        0          3         3.84       147     0.00314
16                                                    0        0          3         3.84       15      0.000155
165                                                   0        0          3         3.84       163     0.000355
174                                                   0        0          3         3.84       173     8.68e-06
184                                                   0        0          3         3.84       183     1.16e-05
188                                                   0        0          3         3.84       187     2.16e-05
198                                                   0        0          3         3.84       197     5.12e-06
208                                                   0        0          3         3.84       207     4.55e-06
212                                                   0        0          3         3.84       211     1.33e-05
214                                                   0        0          3         3.84       211     9.03e-06
228                                                   0        0          3         3.84       227     4.03e-05
24                                                    0        0          3         3.84       23      3.77e-05
240                                                   0        0          3         3.84       239     0.000225
243                                                   0        0          3         3.84       242     0.000273
254                                                   0        0          3         3.84       253     8.79e-06
258                                                   0        0          3         3.84       257     0.0027
261                                                   0        0          3         3.84       260     0.000552
265                                                   0        0          3         3.84       264     0.00252
282                                                   0        0          3         3.84       281     1.12e-05
287                                                   0        0          3         3.84       286     2.25e-05
298                                                   0        0          3         3.84       297     0.000113
31                                                    0        0          3         3.84       30      1.04e-05
49                                                    0        0          3         3.84       48      1.07e-05
52                                                    0        0          3         3.84       51      0.000154
58                                                    0        0          3         3.84       56      0.000174
64                                                    0        0          3         3.84       62      6.45e-05
66                                                    0        0          3         3.84       60      1.87e-05
7                                                     0        0          3         3.84       6       0.00778
75                                                    0        0          3         3.84       73      0.00315
94                                                    0        0          3         3.84       93      0.00438
104                                                   0        0          4         3.84       103     0.000844
108                                                   0        0          4         3.84       107     0.000136
124                                                   0        0          4         3.84       122     4.1e-05
127                                                   0        0          4         3.84       117     1.87e-05
141                                                   0        0          4         3.84       140     0.0005
144                                                   0        0          4         3.84       140     0.00013
15                                                    0        0          4         3.84       14      0.000196
151                                                   0        0          4         3.84       150     0.00278
173                                                   0        0          4         3.84       172     0.000113
183                                                   0        0          4         3.84       182     8.52e-06
207                                                   0        0          4         3.84       206     1.67e-05
227                                                   0        0          4         3.84       226     6.2e-06
23                                                    0        0          4         3.84       22      5.88e-05
230                                                   0        0          4         3.84       220     4.97e-07
239                                                   0        0          4         3.84       237     0.00134
242                                                   0        0          4         3.84       234     2.07e-05
253                                                   0        0          4         3.84       252     2.34e-05
260                                                   0        0          4         3.84       257     0.00105
281                                                   0        0          4         3.84       280     2.55e-05
297                                                   0        0          4         3.84       296     4.27e-05
3                                                     0        0          4         3.84       2       0.0033
30                                                    0        0          4         3.84       29      2.8e-05
48                                                    0        0          4         3.84       47      1.41e-05
51                                                    0        0          4         3.84       42      9.3e-05
82                                                    0        0          4         3.84       80      0.000606
90                                                    0        0          4         3.84       89      0.000619
107                                                   0        0          5         3.84       103     0.0006
133                                                   0        0          5         3.84       131     0.000484
14                                                    0        0          5         3.84       13      0.000958
150                                                   0        0          5         3.84       147     0.0001
163                                                   0        0          5         3.84       162     0.000147
182                                                   0        0          5         3.84       181     4.34e-06
197                                                   0        0          5         3.84       196     9.89e-06
226                                                   0        0          5         3.84       225     3.22e-06
252                                                   0        0          5         3.84       251     3.1e-05
264                                                   0        0          5         3.84       263     0.000681
280                                                   0        0          5         3.84       279     5.5e-06
286                                                   0        0          5         3.84       285     2.35e-05
29                                                    0        0          5         3.84       28      5.99e-05
296                                                   0        0          5         3.84       295     4.92e-05
47                                                    0        0          5         3.84       46      2.63e-05
56                                                    0        0          5         3.84       55      0.000398
62                                                    0        0          5         3.84       61      0.00013
73                                                    0        0          5         3.84       72      0.000395
89                                                    0        0          5         3.84       88      0.00098
122                                                   0        0          6         3.84       121     5.04e-06
181                                                   0        0          6         3.84       180     1.1e-07
196                                                   0        0          6         3.84       195     4.86e-06
