# MRCA(targets): 1376, Aerococcus urinae
# MRCA(targets+neighbors): 1375, Aerococcus
# Type  Taxon-ID  Name                                              Genomes
n       1116703   Aerococcus sp. C179-PCA-T3P21                     -
n       1116704   Aerococcus sp. C201-PCA-T3P21                     -
n       1116705   Aerococcus sp. C203-PCA-T3P21                     -
n       1116706   Aerococcus sp. C28-PCA-T3P21                      -
n       1116708   Aerococcus sp. C36-PCA-T3P21                      -
n       1116710   Aerococcus sp. C45-PCA-T3P21                      -
n       1116711   Aerococcus sp. C65-PCA-T3P21                      -
n       1116712   Aerococcus sp. C7-PCA-T3P21                       -
n       1116713   Aerococcus sp. C70-PCA-T3P21                      -
n       1116716   Aerococcus sp. C78-PCA-T3P21                      -
n       1116717   Aerococcus sp. C91-PCA-T3P21                      -
n       1116718   Aerococcus sp. C92-PCA-T3P21                      -
n       1116753   Aerococcus sp. Z16-SB-E14                         -
n       1116754   Aerococcus sp. Z19-SB-E14                         -
n       1116756   Aerococcus sp. Z20-SB-E14                         -
n       1116757   Aerococcus sp. Z23-SB-E14                         -
n       1116758   Aerococcus sp. Z26-SB-E14                         -
n       1116759   Aerococcus sp. Z29-SB-E14                         -
n       1116761   Aerococcus sp. Z31-SB-E14                         -
n       1116762   Aerococcus sp. Z33-SB-E14                         -
n       1116763   Aerococcus sp. Z34-SB-E14                         -
n       1116764   Aerococcus sp. Z35-SB-E14                         -
n       1116765   Aerococcus sp. Z36-SB-E14                         -
n       1116766   Aerococcus sp. Z37-SB-E14                         -
n       1116767   Aerococcus sp. Z38-SB-E14                         -
n       1116770   Aerococcus sp. Z7-SB-E14                          -
n       1116771   Aerococcus sp. Z8-SB-E14                          -
n       1116786   Aerococcus sp. S12-SB-T2P11                       -
n       1116787   Aerococcus sp. S18-SB-T2P11                       -
n       1116788   Aerococcus sp. S7-SB-T2P11                        -
n       1116790   Aerococcus sp. T75-SB-T3P11                       -
n       1116791   Aerococcus sp. T86-SB-T3P11                       -
n       1116792   Aerococcus sp. T9-SB-T3P11                        -
n       1116793   Aerococcus sp. T90-SB-T3P11                       -
n       1116794   Aerococcus sp. T96-SB-T3P11                       -
n       1120952   Aerococcus urinaeequi DSM 20341 = CCUG 28094      GCA_000425085.1
n       1134846   Aerococcus sp. GCNN9_I                            -
n       1175629   Aerococcus viridans LL1                           GCA_000262085.1
n       1185773   Aerococcus sp. enrichment culture clone WW1_3-68  -
n       1224906   Aerococcus sp. KK-14                              -
n       1230807   Aerococcus sp. AECF-2                             -
n       1230808   Aerococcus sp. AECF-27a                           -
n       1230809   Aerococcus sp. AECF-4                             -
n       1230810   Aerococcus sp. AECF-6                             -
n       1230811   Aerococcus sp. AECF-7                             -
n       1255702   Aerococcus viridans TL327A                        -
n       1285196   Aerococcus sp. JSA07                              -
n       1323230   Aerococcus vaginalis                              -
n       1329219   Aerococcus sp. RS-BIG-35                          -
n       1353053   Aerococcus sp. DFO-AE7-6c                         -
n       1353054   Aerococcus sp. DFW-AE7-6a                         -
n       1355662   Aerococcus sp. I12B-01124                         -
n       1394735   Aerococcus sp. PJF10                              -
n       1444354   Aerococcus sp. M_Sw_oHS_05/11_6_3(1)              -
n       1444355   Aerococcus sp. M_Sw_oHS_06/11_6_3(2)              -
n       1444356   Aerococcus sp. M_Sw_oHS_07/11_7_2(1)              -
n       1444357   Aerococcus sp. M_Sw_oHS_08/11_5_2(1)              -
n       1444358   Aerococcus sp. M_Sw_oHS_08/11_6_1(2)              -
n       1444359   Aerococcus sp. M_Sw_oHS_09/10_2_2(2)              -
n       1444360   Aerococcus sp. M_Sw_oHS_10/10_11_2(2)             -
n       1449441   Aerococcus sp. DF34-E                             -
n       1449442   Aerococcus sp. DF9n-C                             -
n       1449443   Aerococcus sp. N8-C                               -
n       1472884   Aerococcus sp. ZI1                                -
n       1495954   Aerococcus sp. AK-42                              -
n       1537282   Aerococcus sp. PJSI34                             -
n       1537283   Aerococcus sp. PJSI36                             -
n       1572773   Aerococcus sp. HMW-22                             -
n       1579802   Aerococcus sp. HMW22_42                           -
n       1579803   Aerococcus sp. HMW22_43                           -
n       1579804   Aerococcus sp. HMW22_48                           -
n       1579805   Aerococcus sp. HMW22_60                           -
n       1581058   Aerococcus sp. HMSC23C02                          GCA_001806805.1
n       1581084   Aerococcus sp. HMSC10H05                          GCA_001806975.1
n       1581129   Aerococcus sp. HMSC06H08                          GCA_001807425.1
n       1641649   Aerococcus sp. sed118                             -
n       1647656   Aerococcus sp. S41                                -
n       1651813   Aerococcus sp. 148a                               -
n       1662124   Aerococcus sp. KK05                               -
n       1672770   Aerococcus sp. N360PBVB02_1492r                   -
n       1672771   Aerococcus sp. N360PBVB02_16S_27f                 -
n       1679548   Aerococcus sp. MRSA147B15_13_3E                   -
n       1679549   Aerococcus sp. MRSA150B15_13_3E                   -
n       1680917   Aerococcus sp. A06_41                             -
n       1680918   Aerococcus sp. B06_42                             -
n       1680919   Aerococcus sp. C06_43                             -
n       1680920   Aerococcus sp. C07_51                             -
n       1680921   Aerococcus sp. D06_44                             -
n       1680922   Aerococcus sp. E07_53                             -
n       1680923   Aerococcus sp. F07_54                             -
n       1680924   Aerococcus sp. G06_47                             -
n       1680925   Aerococcus sp. G07_55                             -
n       1680926   Aerococcus sp. G10_79                             -
n       1680927   Aerococcus sp. H02_16                             -
n       1680928   Aerococcus sp. H06_48                             -
n       1680929   Aerococcus sp. H07_56                             -
n       1692033   Aerococcus sp. G18.53                             -
n       1715105   Aerococcus sp. HMSC062A02                         GCA_001809535.1
n       1715159   Aerococcus sp. HMSC062B07                         GCA_001809895.1
n       1715184   Aerococcus sp. HMSC035B07                         GCA_001836025.1
n       1729605   Aerococcus sp. C26                                -
n       1729606   Aerococcus sp. F116                               -
n       1733940   Aerococcus sp. bw5                                -
n       1734451   Aerococcus sp. PKL11                              -
n       1739288   Aerococcus sp. HMSC075D05                         GCA_001811135.1
n       1739333   Aerococcus sp. HMSC072A12                         GCA_001811965.1
n       1739396   Aerococcus sp. HMSC061A03                         GCA_001813115.1
n       1794329   Aerococcus sp. 307B4_12EGalle                     -
n       1794330   Aerococcus sp. 323B3_12EGalle                     -
n       1794331   Aerococcus sp. 615B2_12EGalle                     -
n       1794332   Aerococcus sp. 616B2_12EGalle                     -
n       1808495   Aerococcus sp. BR-36                              -
n       1813377   Aerococcus sp. ADMK8                              -
n       1834720   Aerococcus sp. HGLP-34                            -
n       1834721   Aerococcus sp. HGLP-35                            -
n       1844430   Aerococcus sp. BYHD2-1                            -
n       1844431   Aerococcus sp. BYHD2-11                           -
n       1844432   Aerococcus sp. BYHD3-1                            -
n       1844462   Aerococcus sp. BYHD1-1                            -
n       1862355   Aerococcus sp. 245CL                              -
n       1862391   Aerococcus sp. SKR2                               -
n       1872398   Aerococcus sp.                                    GCA_022768285.1|GCA_017474445.1
n       1945961   Aerococcus sp. UBA6277                            GCA_002440555.1
n       1981982   Aerococcus sp. 1KP-2016                           GCA_002252085.1
n       2487350   Aerococcus sp. SJQ22                              GCA_003797145.1
n       2618060   unclassified Aerococcus                           -
n       2654098   Aerococcus sp. PSL25                              -
n       2730366   Aerococcus sp. 1D-463                             -
n       2730367   Aerococcus sp. 1D-488                             -
n       2730390   Aerococcus sp. 1D-1724                            -
